issuer,validity_start,validity_end,sha256_fingerprint,cert_length,public_key_length,secure_connection,encryption,error,website,category
DigiCert SHA2 High Assurance Server CA,05-Jun-24,03-Sep-24,99:ED:71:32:3F:7A:C9:85:E4:BA:C4:ED:F3:0F:AC:A0:0D:2C:63:6C:A6:F2:68:5D:C2:A6:C5:23:50:BA:14:50,1693,256,TRUE,"('TLS_CHACHA20_POLY1305_SHA256', 'TLSv1.3', 256)",,messenger.com,Communication
Cloudflare Inc ECC CA-3,20-Oct-23,19-Oct-24,4A:0B:65:E6:5A:BD:32:DB:93:2F:87:C4:3E:FD:76:37:CE:2A:81:78:AB:00:DD:E4:9A:C8:AE:15:15:FB:C2:CC,1305,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,discord.com,Communication
WE1,14-Aug-24,12-Nov-24,78:43:5B:9E:C0:CC:3A:BD:D5:E8:11:21:C2:7A:CF:52:45:3F:74:2D:E4:C5:08:F0:88:64:72:9B:4F:A2:33:D9,943,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,coinbase.com,Cryptocurrency
WE1,22-Jul-24,20-Oct-24,50:A2:51:76:33:4F:46:A3:9A:1D:40:F4:CD:68:81:68:3B:62:55:B2:92:3D:6A:E8:FC:BD:8D:88:9C:81:77:74,920,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,kraken.com,Cryptocurrency
WE1,10-Aug-24,08-Nov-24,11:7D:30:F5:B8:73:76:9F:CC:80:42:C1:3D:B7:39:A6:86:E9:74:31:64:A5:E1:13:06:33:C3:89:CF:3E:CF:D8,946,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,blockchain.com,Cryptocurrency
Cloudflare Inc ECC CA-3,09-Mar-24,31-Dec-24,B2:AB:C7:4C:BA:B2:AE:29:64:80:18:DD:B0:C8:3D:F5:33:53:2B:E5:89:0F:D1:96:9B:60:74:CD:D1:CE:21:F2,1378,256,TRUE,"('ECDHE-ECDSA-AES128-GCM-SHA256', 'TLSv1.2', 128)",,bitfinex.com,Cryptocurrency
WE1,28-Jul-24,26-Oct-24,02:AE:C3:28:42:8C:7E:33:95:3C:29:A7:2A:95:2D:35:6D:E1:6F:E5:C4:F3:12:21:AD:FA:46:37:7A:FA:0C:90,938,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,poloniex.com,Cryptocurrency
WE1,25-Jul-24,23-Oct-24,16:37:4D:25:0F:40:9A:75:C3:99:05:C3:3E:9F:FF:7D:6D:2C:5E:88:37:79:58:BC:51:7C:97:44:16:96:F4:E0,935,256,TRUE,"('ECDHE-ECDSA-AES128-GCM-SHA256', 'TLSv1.2', 128)",,bittrex.com,Cryptocurrency
E6,18-Jul-24,16-Oct-24,39:F0:AC:8E:36:87:52:EA:06:7A:5D:C6:2C:DE:0B:AC:12:60:C0:96:FA:28:E6:92:7B:44:ED:C7:CC:E4:0B:DA,924,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,cointelegraph.com,Cryptocurrency
WE1,12-Jul-24,10-Oct-24,F1:AD:0A:DD:D8:F8:0C:FD:2B:06:55:AB:BA:A5:AC:BE:C5:F9:E7:38:E8:8A:C2:34:14:8C:A8:66:CE:18:72:99,954,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,cryptocompare.com,Cryptocurrency
WE1,10-Aug-24,08-Nov-24,70:82:03:60:A3:09:81:85:D2:CA:66:1F:38:24:5A:8D:12:65:C0:3E:AD:2C:1A:41:00:90:8B:B1:35:D9:9A:37,949,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,coinpaprika.com,Cryptocurrency
WE1,31-Jul-24,29-Oct-24,C2:DF:13:77:AA:C7:59:43:D5:35:F6:85:D0:46:60:B6:78:50:7D:10:E8:27:E6:94:DB:74:A5:28:38:43:2C:8E,939,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,coinwarz.com,Cryptocurrency
WE1,04-Jul-24,02-Oct-24,15:44:97:1E:2E:08:0A:2C:AD:3D:71:E8:15:A0:82:23:74:D6:57:98:79:B4:2D:1C:38:71:BA:1A:E1:EE:14:12,948,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,cryptowatch.com,Cryptocurrency
